date,workout_type,duration(HH:mm:ss),distance(km),steps,elevation(m),weight(lbs),avg_heart_rate,max_heart_rate,notes
26-AUG-2023,walk (treadmill),01:00:00,5.26,6312,261,0,143,151,""
24-AUG-2023,walk (treadmill),01:00:00,5.42,6713,125,35,161,181,""
23-AUG-2023,walk (treadmill),01:08:01,5.91,7197,350,0,149,173,""
21-AUG-2023,walk (treadmill),01:09:07,6.28,7440,309,0,149,185,""
19-AUG-2023,walk (treadmill),01:06:06,5.78,6835,412,0,170,195,""
18-AUG-2023,walk (treadmill),00:05:38,0.54,598,0,0,126,137,"pre-workout warm-up"
16-AUG-2023,walk (treadmill),01:17:59,6.83,8333,416,0,154,190,""
15-AUG-2023,walk (treadmill),01:25:10,7.44,8876,369,0,142,156,"tweaked back the day before, this was a very low-intensity session"
13-AUG-2023,walk (treadmill),01:14:00,6.75,7962,450,0,169,187,""
12-AUG-2023,walk (treadmill),00:10:24,0.93,1089,27,0,139,148,"Easy post-workout cooldown"
11-AUG-2023,walk (treadmill),01:15:59,6.59,7958,402,0,156,182,""
09-AUG-2023,walk (treadmill),01:14:14,7.01,8338,320,0,154,183,""
07-AUG-2023,walk (treadmill),01:08:36,6.14,7420,313,0,155,181,"did some leg raises beforehand that were pain-free"
06-AUG-2023,walk (treadmill),00:33:10,3.46,3984,100,0,162,179,""
05-AUG-2023,walk (treadmill),01:12:39,6.45,7956,200,32,161,181,""
04-AUG-2023,walk (treadmill),00:13:13,1.15,1409,44,0,151,161,""
04-AUG-2023,walk (treadmill),00:11:42,1.00,1184,42,0,132,141,""
03-AUG-2023,walk (treadmill),01:15:44,6.59,7935,365,0,155,169,""
01-AUG-2023,walk (treadmill),01:55:04,10.00,12041,500,0,150,169,""
31-JUL-2023,walk (treadmill),01:11:31,6.52,7648,347,0,156,188,""
30-JUL-2023,walk (treadmill),00:36:04,3.12,3793,213,0,170,192,""
29-JUL-2023,walk (treadmill),01:11:11,6.20,7463,309,0,154,167,""
27-JUL-2023,walk (treadmill),01:07:24,6.04,7118,264,0,147,162,""
26-JUL-2023,walk (treadmill),00:35:14,3.09,3692,201,0,154,178,""
25-JUL-2023,walk (treadmill),00:43:13,5.00,5098,7,0,158,193,""
23-JUL-2023,walk (treadmill),01:40:00,8.68,10557,526,0,160,178,""
21-JUL-2023,walk (treadmill),01:05:39,5.74,6892,273,0,160,185,""
21-JUL-2023,walk (treadmill),00:30:00,3.00,3382,100,0,155,192,""
19-JUL-2023,walk (treadmill),01:16:09,6.74,7938,369,0,164,186,""
12-JUL-2023,walk (treadmill),01:07:00,5.83,6933,352,0,160,190,"Emergency stop triggered so the elevation, time, and distance are rough estimates"
10-JUL-2023,walk (treadmill),01:12:08,6.66,7758,204,0,160,192,""
08-JUL-2023,walk (treadmill),01:06:45,5.86,6931,362,0,170,181,""
06-JUL-2023,walk (treadmill),01:11:33,6.27,7446,339,0,154,165,""
02-JUL-2023,hike (backpacking),06:45:00,19.1,30047,690,30.7,,,"Backpacked back from Sixteen Mile"
01-JUL-2023,hike (backpacking),07:15:00,19.2,33173,1177,30.7,,,"Backpacked up to Sixteen Mile Campsite by Mt. Daniel"
